species,category
samolus parviflorus,
paspalum urvillei,
fraxinus albicans,
fatoua villosa,
eleocharis montevidensis,
diplotaxis muralis,
froelichia gracilis,
mirabilis albida,
lantana urticoides,
lantana strigocamara,
securigera varia,
proboscidea louisianica,
parthenocissus quinquefolia,
hopia obtusa,
quercus sinuata breviloba,
liatris aestivalis,
paspalum notatum,
gonolobus suberosus,
castilleja indivisa,
ammannia coccinea,
capsicum annuum,
polypremum procumbens,
euphorbia dentata,
yucca pallida,
salvia texana,
senega alba,
coryphantha sulcata,
schizachyrium scoparium,
callirhoe pedata,
lupinus texensis,
arundo donax,
ailanthus altissima,
cichorium intybus,
desmodium tweedyi,
eriochloa sericea,
tribulus terrestris,
triticum aestivum,
silybum marianum,
verbascum thapsus,
paspalum distichum,
ulmus americana,
rumex pulcher,
vicia villosa,
helianthus divaricatus,
rhus glabra,
sphenopholis obtusata,
dermatophyllum secundiflorum,
verbesina alternifolia,
allium canadense,
alternanthera philoxeroides,
carex cherokeensis,
potentilla indica,
quercus stellata,
artemisia ludoviciana,
boerhavia coccinea,
setaria viridis,
zizia aurea,
smilax tamnoides,
silphium radula,
cyperus acuminatus,
taraxacum officinale,
ungnadia speciosa,
oenothera rhombipetala,
asclepias oenotheroides,
photinia serratifolia,
chasmanthium sessiliflorum,
bletia arizonica,
pediomelum cuspidatum,
evolvulus sericeus,
mikania scandens,
oenothera laciniata,
hibiscus lasiocarpos,
salvia farinacea,
dalea multiflora,
elephantopus carolinianus,
achillea millefolium,
elymus canadensis,
portulaca grandiflora,
physalis philadelphica,
diaperia prolifera,
persicaria lapathifolia,
lechea tenuifolia,
galactia regularis,
cyperus echinatus,
strophostyles helvola,
verbena xutha,
carex crus-corvi,
boerhavia erecta,
oenothera macrocarpa,
cyperus rotundus,
disakisperma dubium,
liquidambar styraciflua,
oxalis corniculata,
commelina communis,
ampelopsis cordata,
salvia lyrata,
hibiscus syriacus,
platanus occidentalis,
cucurbita foetidissima,
echinochloa colona,
tridens flavus,
juncus marginatus,
melothria pendula,
dinebra panicea,
urochloa platyphylla,
physalis longifolia,
trepocarpus aethusae,
cynodon dactylon,
ptilimnium nuttallii,
bifora americana,
dalea purpurea,
oenothera glaucifolia,
liatris punctata,
clitoria mariana,
lygodesmia texana,
sesbania vesicaria,
coreopsis lanceolata,
lathyrus hirsutus,
hypericum perforatum,
thymelaea passerina,
sorghastrum nutans,
cardiospermum halicacabum,
nothoscordum bivalve,
xanthium strumarium,
solidago rigida,
matelea biflora,
sedum nuttallii,
phemeranthus calcaricus,
acmispon americanus,
bradburia pilosa,
petrorhagia dubia,
parietaria pensylvanica,
ruellia strepens,
mazus pumilus,
lonicera albiflora,
impatiens balsamina,
dysodiopsis tagetoides,
berchemia scandens,
verbena brasiliensis,
mentzelia oligosperma,
pyrrhopappus pauciflorus,
ipomoea quamoclit,
eupatorium serotinum,
agalinis heterophylla,
amphiachyris dracunculoides,
paronychia virginica,
iva angustifolia,
quercus buckleyi,
eriogonum longifolium,
elymus glabriflorus,
cyperus retrorsus,
schoenoplectus californicus,
linum hudsonioides,
heteranthera limosa,
linum berlandieri,
symphyotrichum ericoides,
heterotheca subaxillaris,
pluchea odorata,
eragrostis barrelieri,
cyclospermum leptophyllum,
zeltnera texensis,
gratiola quartermaniae,
salvia coccinea,
anemone berlandieri,
castilleja purpurea,
bowlesia incana,
phyllostachys aurea,
euphorbia prostrata,
sonchus asper,
viburnum rufidulum,
carex aureolensis,
elaeagnus pungens,
juncus diffusissimus,
carex tetrastachya,
arisaema dracontium,
sanicula odorata,
zeltnera beyrichii,
mentha spicata,
sagittaria platyphylla,
colocasia esculenta,
polanisia erosa,
escobaria missouriensis similis,
tephrosia virginiana,
anatherum tenuispatheum,
oxalis articulata,
cyperus pseudovegetus,
bignonia capreolata,
narcissus tazetta,
chenopodium album,
bromus pubescens,
sanicula canadensis,
tetragonotheca ludoviciana,
eleusine indica,
conoclinium dissectum,
penstemon tenuis,
polanisia dodecandra,
delphinium ajacis,
centaurea cyanus,
vernonia lindheimeri,
tagetes lunulata,
trifolium vessiculosum,
juncus brachycarpus,
fimbristylis puberula,
aira caryophyllea,
festuca myuros,
dichanthelium helleri,
silene antirrhina,
tridens congestus,
juncus torreyi,
cynanchum unifarium,
triodanis biflora,
bouteloua pectinata,
eclipta prostrata,
bupleurum rotundifolium,
persicaria hydropiperoides,
cicuta maculata,
hordeum pusillum,
firmiana simplex,
ludwigia peploides,
rhus copallinum,
galium aparine,
